,kms_driven,owner,age,power,brand
85,10000.0,First Owner,11.0,135.0,Bajaj
86,54000.0,First Owner,6.0,350.0,Royal Enfield
87,27000.0,First Owner,7.0,220.0,Bajaj
88,19000.0,First Owner,6.0,150.0,Yamaha
89,43500.0,First Owner,7.0,350.0,Royal Enfield
91,11575.0,First Owner,4.0,200.0,Bajaj
92,190.0,First Owner,1.0,1100.0,Ducati
93,19000.0,First Owner,3.0,765.0,Triumph
94,8600.0,First Owner,4.0,150.0,Bajaj
95,2000.0,First Owner,2.0,150.0,Bajaj
96,5100.0,First Owner,1.0,150.0,Suzuki
97,9000.0,First Owner,5.0,100.0,Hero
98,44480.0,First Owner,13.0,150.0,Bajaj
99,11000.0,First Owner,3.0,390.0,KTM
100,16000.0,First Owner,7.0,250.0,Honda
101,26691.0,First Owner,5.0,200.0,Bajaj
102,45000.0,First Owner,5.0,350.0,Royal Enfield
103,12000.0,Third Owner,12.0,150.0,Bajaj
104,14200.0,First Owner,4.0,600.0,Benelli
105,41000.0,First Owner,3.0,150.0,Suzuki
106,15000.0,First Owner,5.0,150.0,Yamaha
107,12314.0,First Owner,4.0,150.0,Honda
108,11760.0,First Owner,3.0,100.0,Hero
109,22000.0,First Owner,11.0,500.0,Royal Enfield
110,1800.0,First Owner,4.0,650.0,Hyosung
111,4400.0,First Owner,4.0,150.0,Bajaj
112,16000.0,First Owner,5.0,150.0,Yamaha
113,9000.0,First Owner,4.0,150.0,Bajaj
114,8700.0,First Owner,3.0,160.0,TVS
115,1342.0,First Owner,4.0,200.0,Bajaj
116,21000.0,First Owner,6.0,300.0,Benelli
117,19000.0,First Owner,5.0,125.0,Honda
118,13000.0,First Owner,9.0,250.0,Honda
119,12771.0,First Owner,4.0,100.0,Hero
120,51576.0,First Owner,6.0,100.0,Hero
121,608.0,First Owner,2.0,110.0,Hero
122,13680.0,First Owner,9.0,150.0,Honda
123,285.0,First Owner,5.0,600.0,Yamaha
124,3.0,First Owner,3.0,1299.0,Ducati
125,24676.0,First Owner,5.0,410.0,Royal Enfield
126,11000.0,First Owner,6.0,350.0,Royal Enfield
127,28948.0,First Owner,5.0,200.0,Bajaj
128,10000.0,First Owner,10.0,350.0,Royal Enfield
129,16000.0,First Owner,9.0,200.0,KTM
130,10500.0,First Owner,5.0,125.0,TVS
131,20000.0,First Owner,6.0,160.0,TVS
132,18000.0,First Owner,5.0,350.0,Royal Enfield
133,3500.0,First Owner,6.0,750.0,Harley-Davidson
134,70000.0,First Owner,6.0,150.0,Suzuki
135,18158.0,First Owner,6.0,150.0,Suzuki
136,39140.0,First Owner,5.0,150.0,Suzuki
137,27776.0,First Owner,8.0,220.0,Bajaj
138,32734.0,First Owner,6.0,220.0,Bajaj
139,14000.0,First Owner,2.0,410.0,Royal Enfield
140,13000.0,First Owner,8.0,350.0,Royal Enfield
141,5000.0,First Owner,2.0,200.0,Bajaj
142,39500.0,First Owner,7.0,150.0,Bajaj
143,29500.0,First Owner,4.0,220.0,Bajaj
144,14900.0,First Owner,3.0,350.0,Royal Enfield
145,2000.0,First Owner,3.0,125.0,Honda
146,4000.0,First Owner,2.0,150.0,Honda
147,68500.0,Second Owner,7.0,150.0,Yamaha
148,2473.0,First Owner,2.0,150.0,Yamaha
149,9221.0,First Owner,3.0,200.0,KTM
150,37128.0,First Owner,7.0,200.0,Bajaj
151,16166.0,First Owner,6.0,125.0,Hero
152,11716.0,First Owner,3.0,400.0,Bajaj
153,8419.0,First Owner,3.0,350.0,Royal Enfield
154,13459.0,First Owner,5.0,350.0,Royal Enfield
155,14704.0,First Owner,6.0,350.0,Royal Enfield
158,9200.0,First Owner,4.0,150.0,Bajaj
159,30294.0,First Owner,5.0,350.0,Royal Enfield
160,19756.0,First Owner,8.0,350.0,Royal Enfield
165,12000.0,First Owner,2.0,160.0,Honda
166,7702.0,First Owner,3.0,350.0,Royal Enfield
167,312.0,First Owner,3.0,1300.0,Suzuki
168,17000.0,First Owner,4.0,350.0,Royal Enfield
169,16000.0,First Owner,5.0,821.0,Ducati
170,3500.0,First Owner,3.0,150.0,Yamaha
171,11050.0,First Owner,4.0,150.0,Suzuki
172,948.0,First Owner,2.0,125.0,Hero
173,11200.0,Second Owner,5.0,200.0,KTM
174,10407.0,First Owner,5.0,150.0,Yamaha
175,23000.0,First Owner,8.0,125.0,Bajaj
176,5500.0,First Owner,2.0,100.0,Hero
177,38000.0,First Owner,15.0,223.0,Hero
178,23000.0,First Owner,5.0,200.0,KTM
179,4500.0,First Owner,4.0,200.0,KTM
180,11227.0,First Owner,3.0,150.0,Yamaha
181,45000.0,First Owner,9.0,100.0,Hero
182,100.0,First Owner,6.0,1198.0,Ducati
183,3500.0,First Owner,3.0,500.0,Royal Enfield
184,30000.0,First Owner,5.0,220.0,Bajaj
185,38000.0,First Owner,9.0,150.0,Yamaha
186,22000.0,First Owner,12.0,125.0,Yamaha
187,54560.0,First Owner,8.0,223.0,Hero
188,33150.0,First Owner,6.0,150.0,Yamaha
189,5550.0,Second Owner,7.0,883.0,Harley-Davidson
190,12077.0,First Owner,5.0,200.0,TVS
191,5000.0,First Owner,4.0,220.0,Bajaj
192,13300.0,First Owner,6.0,500.0,Royal Enfield
193,16000.0,First Owner,2.0,160.0,TVS
194,4000.0,First Owner,2.0,350.0,Royal Enfield
195,3000.0,First Owner,3.0,400.0,Bajaj
196,7000.0,First Owner,3.0,350.0,Royal Enfield
197,4000.0,First Owner,2.0,100.0,Hero
199,15000.0,First Owner,7.0,200.0,KTM
200,15000.0,First Owner,3.0,220.0,Bajaj
201,15500.0,First Owner,4.0,350.0,Royal Enfield
202,500.0,First Owner,3.0,150.0,Suzuki
207,35251.0,First Owner,12.0,180.0,Bajaj
208,35000.0,First Owner,14.0,100.0,Hero
209,22000.0,First Owner,5.0,110.0,Hero
210,26000.0,First Owner,5.0,180.0,Bajaj
212,15000.0,First Owner,6.0,100.0,Bajaj
213,26000.0,First Owner,4.0,200.0,TVS
214,21000.0,First Owner,4.0,350.0,Royal Enfield
215,28428.0,First Owner,9.0,110.0,TVS
216,10149.0,First Owner,3.0,350.0,Royal Enfield
217,7036.0,First Owner,3.0,350.0,Royal Enfield
218,7593.0,First Owner,4.0,400.0,Bajaj
219,17000.0,First Owner,6.0,200.0,KTM
220,15798.0,First Owner,4.0,100.0,Bajaj
221,4800.0,First Owner,4.0,150.0,Yamaha
222,7000.0,First Owner,2.0,410.0,Royal Enfield
223,11000.0,First Owner,2.0,410.0,Royal Enfield
225,28000.0,Third Owner,6.0,200.0,KTM
226,23000.0,Second Owner,5.0,220.0,Bajaj
227,16000.0,First Owner,4.0,350.0,Royal Enfield
228,300.0,First Owner,2.0,959.0,Ducati
229,50000.0,First Owner,6.0,150.0,Yamaha
230,22000.0,First Owner,6.0,100.0,Bajaj
231,10000.0,First Owner,4.0,350.0,Royal Enfield
232,3000.0,First Owner,4.0,150.0,Bajaj
233,55000.0,First Owner,9.0,125.0,Bajaj
234,16500.0,First Owner,4.0,110.0,Hero
235,36000.0,First Owner,5.0,100.0,TVS
236,7329.0,First Owner,3.0,125.0,Hero
237,8780.0,First Owner,2.0,400.0,Bajaj
238,20000.0,First Owner,8.0,350.0,Royal Enfield
239,28164.0,First Owner,10.0,125.0,Honda
240,20600.0,First Owner,6.0,200.0,Bajaj
241,5700.0,First Owner,6.0,220.0,Bajaj
242,11277.0,First Owner,3.0,500.0,Royal Enfield
243,26000.0,First Owner,7.0,220.0,Bajaj
244,4000.0,First Owner,5.0,110.0,Honda
245,11600.0,First Owner,4.0,400.0,Bajaj
246,8800.0,First Owner,3.0,150.0,Yamaha
247,2100.0,First Owner,4.0,390.0,KTM
248,65000.0,First Owner,13.0,150.0,Bajaj
249,20000.0,First Owner,6.0,200.0,KTM
250,18000.0,Second Owner,5.0,220.0,Bajaj
251,58000.0,First Owner,7.0,180.0,Bajaj
252,24445.0,First Owner,8.0,200.0,Bajaj
253,34525.0,First Owner,7.0,100.0,Bajaj
254,19000.0,First Owner,4.0,150.0,Suzuki
255,4000.0,First Owner,3.0,150.0,Suzuki
256,9148.0,First Owner,6.0,200.0,Bajaj
257,16000.0,First Owner,5.0,160.0,TVS
258,3694.0,First Owner,4.0,400.0,Bajaj
259,7524.0,First Owner,5.0,150.0,Bajaj
260,23000.0,First Owner,8.0,100.0,Hero
261,12800.0,First Owner,6.0,200.0,KTM
262,1440.0,First Owner,2.0,390.0,KTM
265,22672.0,Second Owner,6.0,150.0,Yamaha
266,25000.0,First Owner,8.0,500.0,Royal Enfield
267,10000.0,First Owner,3.0,200.0,KTM
268,34200.0,First Owner,6.0,350.0,Royal Enfield
269,7000.0,First Owner,4.0,150.0,Bajaj
270,3490.0,First Owner,9.0,350.0,Royal Enfield
271,7500.0,First Owner,5.0,200.0,KTM
272,13500.0,First Owner,5.0,150.0,Bajaj
273,11000.0,First Owner,5.0,350.0,Royal Enfield
274,56353.0,First Owner,5.0,200.0,Bajaj
275,25000.0,First Owner,7.0,220.0,Bajaj
276,1123.0,First Owner,2.0,125.0,Yamaha
277,1500.0,First Owner,2.0,650.0,Royal Enfield
278,15000.0,First Owner,4.0,150.0,Bajaj
279,31000.0,First Owner,7.0,350.0,Royal Enfield
280,28000.0,First Owner,5.0,220.0,Bajaj
281,11460.0,First Owner,3.0,220.0,Bajaj
282,23000.0,First Owner,5.0,390.0,KTM
283,1175.0,First Owner,2.0,200.0,Bajaj
284,7800.0,Third Owner,5.0,675.0,Triumph
285,15000.0,First Owner,7.0,250.0,Honda
286,28653.0,First Owner,8.0,100.0,Hero
287,8000.0,Second Owner,6.0,250.0,Hyosung
288,2100.0,First Owner,2.0,295.0,Jawa
289,3300.0,First Owner,4.0,125.0,Bajaj
290,19000.0,First Owner,6.0,100.0,Bajaj
291,20400.0,First Owner,4.0,125.0,Bajaj
292,25000.0,First Owner,10.0,150.0,Yamaha
293,18000.0,First Owner,7.0,223.0,Hero
294,12000.0,First Owner,4.0,390.0,KTM
298,11000.0,First Owner,9.0,350.0,Royal Enfield
303,5100.0,Second Owner,4.0,250.0,Yamaha
304,2200.0,First Owner,4.0,350.0,Royal Enfield
305,3100.0,First Owner,6.0,750.0,Harley-Davidson
306,1500.0,First Owner,11.0,223.0,Hero
307,3000.0,First Owner,2.0,200.0,Hero
308,22560.0,First Owner,11.0,150.0,Bajaj
309,16658.0,First Owner,6.0,150.0,Yamaha
310,3135.0,First Owner,3.0,302.0,Benelli
311,29000.0,Second Owner,3.0,160.0,Honda
312,29860.0,First Owner,7.0,350.0,Royal Enfield
313,12000.0,First Owner,5.0,350.0,Royal Enfield
315,7000.0,First Owner,3.0,160.0,TVS
316,3700.0,First Owner,2.0,150.0,Suzuki
317,27000.0,First Owner,6.0,220.0,Bajaj
319,9300.0,First Owner,4.0,200.0,Bajaj
320,9000.0,First Owner,3.0,100.0,Hero
321,21389.0,First Owner,12.0,150.0,Hero
322,13500.0,First Owner,5.0,250.0,Hyosung
323,24374.0,First Owner,6.0,200.0,Bajaj
324,9600.0,First Owner,4.0,390.0,KTM
326,37000.0,First Owner,7.0,110.0,Honda
327,7781.0,Second Owner,3.0,220.0,Bajaj
328,7758.0,First Owner,2.0,110.0,Hero
329,8000.0,First Owner,3.0,150.0,Yamaha
330,32000.0,First Owner,7.0,223.0,Hero
331,12100.0,First Owner,9.0,500.0,Royal Enfield
332,26811.0,First Owner,6.0,350.0,Royal Enfield
333,13500.0,First Owner,3.0,320.0,Yamaha
334,16500.0,First Owner,39.0,350.0,Royal Enfield
335,10401.0,First Owner,8.0,100.0,Hero
336,13000.0,Second Owner,5.0,750.0,Harley-Davidson
337,20500.0,First Owner,4.0,400.0,Bajaj
338,19211.0,First Owner,6.0,110.0,Honda
339,22500.0,First Owner,10.0,350.0,Royal Enfield
340,14009.0,First Owner,2.0,125.0,Bajaj
341,11000.0,First Owner,2.0,220.0,Bajaj
342,2982.0,First Owner,3.0,150.0,Yamaha
343,12000.0,First Owner,3.0,390.0,KTM
344,3000.0,First Owner,1.0,125.0,Honda
345,30806.0,First Owner,5.0,100.0,Bajaj
346,55000.0,Second Owner,13.0,150.0,Bajaj
347,5000.0,First Owner,5.0,150.0,Bajaj
348,29000.0,First Owner,5.0,350.0,Royal Enfield
349,15000.0,First Owner,7.0,350.0,Royal Enfield
350,14500.0,First Owner,3.0,400.0,Bajaj
351,6200.0,First Owner,4.0,350.0,Royal Enfield
355,19000.0,First Owner,5.0,160.0,Honda
356,15000.0,First Owner,4.0,110.0,Honda
359,2200.0,First Owner,3.0,310.0,BMW
360,3710.0,First Owner,2.0,160.0,TVS
361,38400.0,Second Owner,7.0,250.0,Honda
362,18000.0,First Owner,6.0,150.0,Bajaj
363,17000.0,First Owner,5.0,150.0,Bajaj
364,21000.0,Third Owner,11.0,250.0,Kawasaki
365,4700.0,First Owner,5.0,410.0,Royal Enfield
366,3174.0,First Owner,6.0,899.0,Benelli
367,1700.0,First Owner,6.0,1800.0,Indian
368,230.0,First Owner,1.0,650.0,Kawasaki
369,3000.0,First Owner,2.0,200.0,KTM
370,32000.0,First Owner,5.0,100.0,Hero
371,21000.0,First Owner,4.0,125.0,Hero
372,38717.0,First Owner,5.0,150.0,Bajaj
373,1999.0,First Owner,3.0,150.0,Hero
374,39822.0,Second Owner,13.0,150.0,TVS
375,7500.0,First Owner,5.0,650.0,Kawasaki
376,23000.0,First Owner,7.0,100.0,Hero
377,17376.0,Second Owner,5.0,100.0,Hero
378,33000.0,First Owner,8.0,350.0,Royal Enfield
381,9500.0,First Owner,4.0,300.0,Benelli
382,20000.0,First Owner,8.0,160.0,TVS
385,35000.0,First Owner,16.0,350.0,Royal Enfield
386,8600.0,First Owner,5.0,350.0,Royal Enfield
388,18000.0,First Owner,5.0,150.0,Bajaj
389,18000.0,First Owner,3.0,160.0,Bajaj
390,1800.0,First Owner,2.0,295.0,Jawa
391,23000.0,First Owner,4.0,350.0,Royal Enfield
392,29000.0,First Owner,9.0,125.0,Honda
393,5000.0,First Owner,2.0,150.0,Honda
394,7500.0,First Owner,2.0,350.0,Royal Enfield
395,15000.0,First Owner,2.0,200.0,Bajaj
396,26000.0,Second Owner,12.0,125.0,Honda
399,31464.0,Second Owner,9.0,135.0,Bajaj
400,7419.0,First Owner,3.0,150.0,Suzuki
401,10000.0,First Owner,2.0,200.0,TVS
402,10000.0,First Owner,4.0,220.0,Bajaj
403,6300.0,First Owner,4.0,100.0,Bajaj
404,17000.0,First Owner,3.0,220.0,Bajaj
405,22000.0,First Owner,3.0,220.0,Bajaj
406,15000.0,Second Owner,5.0,350.0,Royal Enfield
419,10000.0,First Owner,2.0,110.0,Hero
420,16000.0,First Owner,4.0,220.0,Bajaj
421,32542.0,First Owner,6.0,150.0,Yamaha
422,7461.0,First Owner,4.0,150.0,Suzuki
423,28000.0,First Owner,6.0,200.0,Bajaj
424,9800.0,First Owner,3.0,160.0,TVS
425,7000.0,First Owner,2.0,160.0,TVS
426,16688.0,Second Owner,6.0,180.0,TVS
427,16000.0,First Owner,5.0,300.0,Mahindra
428,12900.0,First Owner,2.0,650.0,Royal Enfield
429,7000.0,First Owner,4.0,300.0,Benelli
430,3000.0,First Owner,6.0,750.0,Harley-Davidson
431,11000.0,First Owner,13.0,110.0,Honda
432,14000.0,First Owner,5.0,200.0,KTM
433,17000.0,First Owner,3.0,250.0,Yamaha
434,5432.0,Second Owner,6.0,350.0,Royal Enfield
435,3419.0,First Owner,3.0,200.0,TVS
436,25757.0,First Owner,8.0,125.0,Hero
437,71474.0,First Owner,12.0,150.0,TVS
439,34688.0,First Owner,13.0,160.0,TVS
440,8100.0,First Owner,3.0,160.0,Bajaj
441,7900.0,First Owner,3.0,250.0,KTM
442,20000.0,First Owner,5.0,350.0,Royal Enfield
448,12000.0,First Owner,4.0,150.0,Suzuki
449,12000.0,First Owner,7.0,535.0,Royal Enfield
451,17525.0,First Owner,5.0,125.0,Hero
452,9000.0,First Owner,4.0,200.0,KTM
454,13200.0,First Owner,6.0,350.0,Royal Enfield
455,5000.0,First Owner,4.0,400.0,Bajaj
456,7500.0,First Owner,4.0,400.0,Bajaj
457,28000.0,First Owner,8.0,110.0,Hero
458,1100.0,First Owner,4.0,390.0,KTM
459,25000.0,First Owner,5.0,125.0,Honda
460,7500.0,First Owner,4.0,150.0,Bajaj
461,7000.0,First Owner,4.0,400.0,Bajaj
462,10200.0,First Owner,4.0,125.0,Bajaj
463,3500.0,First Owner,4.0,150.0,Bajaj
464,15000.0,First Owner,4.0,110.0,Hero
465,8000.0,First Owner,4.0,350.0,Royal Enfield
466,33000.0,First Owner,7.0,100.0,Bajaj
467,5500.0,First Owner,3.0,150.0,Suzuki
468,14500.0,Second Owner,8.0,250.0,Honda
469,40688.0,First Owner,5.0,100.0,Hero
470,15000.0,First Owner,4.0,220.0,Bajaj
471,10000.0,First Owner,5.0,180.0,Bajaj
472,16801.0,First Owner,6.0,125.0,Suzuki
473,21342.0,First Owner,5.0,150.0,Bajaj
474,38669.0,Third Owner,6.0,110.0,Mahindra
475,10000.0,First Owner,8.0,110.0,Mahindra
476,17000.0,First Owner,4.0,180.0,Bajaj
477,13500.0,First Owner,4.0,160.0,Honda
478,7350.0,First Owner,5.0,150.0,Yamaha
480,27000.0,First Owner,5.0,350.0,Royal Enfield
481,6500.0,First Owner,5.0,150.0,Honda
482,21250.0,First Owner,5.0,390.0,KTM
483,16000.0,First Owner,6.0,200.0,Bajaj
484,12600.0,First Owner,7.0,350.0,Royal Enfield
485,32000.0,First Owner,5.0,150.0,Bajaj
486,45949.0,First Owner,4.0,160.0,TVS
487,15900.0,Second Owner,5.0,500.0,Royal Enfield
488,5600.0,First Owner,4.0,750.0,Harley-Davidson
489,33000.0,First Owner,4.0,150.0,Yamaha
490,2000.0,First Owner,9.0,150.0,Honda
491,6518.0,First Owner,4.0,350.0,Royal Enfield
492,10000.0,First Owner,2.0,100.0,Hero
493,10000.0,First Owner,4.0,200.0,Bajaj
494,10200.0,First Owner,4.0,400.0,Bajaj
495,87267.0,First Owner,13.0,135.0,Bajaj
496,2100.0,First Owner,3.0,180.0,TVS
497,28130.0,Second Owner,8.0,125.0,Bajaj
498,39000.0,First Owner,6.0,150.0,Bajaj
499,7500.0,First Owner,5.0,150.0,Suzuki
500,6300.0,Second Owner,5.0,750.0,Harley-Davidson
501,7334.0,First Owner,7.0,100.0,Bajaj
502,3400.0,First Owner,4.0,150.0,Bajaj
503,9900.0,First Owner,4.0,350.0,Royal Enfield
504,7000.0,First Owner,4.0,160.0,Bajaj
505,2600.0,First Owner,2.0,100.0,Hero
506,24000.0,First Owner,5.0,350.0,Royal Enfield
507,30000.0,First Owner,7.0,150.0,Bajaj
508,8100.0,First Owner,4.0,200.0,Bajaj
509,34000.0,First Owner,9.0,350.0,Royal Enfield
510,15000.0,First Owner,2.0,150.0,Bajaj
512,21832.0,First Owner,13.0,135.0,Bajaj
513,13890.0,First Owner,3.0,200.0,TVS
514,8500.0,First Owner,3.0,400.0,Bajaj
515,7300.0,First Owner,7.0,350.0,Royal Enfield
516,1500.0,First Owner,3.0,110.0,Honda
517,8700.0,First Owner,5.0,200.0,Bajaj
518,44580.0,First Owner,5.0,160.0,Honda
519,10473.0,First Owner,3.0,150.0,Yamaha
520,29451.0,First Owner,5.0,100.0,Bajaj
521,14324.0,First Owner,6.0,125.0,Bajaj
522,1123.0,First Owner,2.0,125.0,KTM
523,28000.0,First Owner,9.0,150.0,Bajaj
524,900.0,First Owner,4.0,350.0,Royal Enfield
525,70000.0,First Owner,14.0,350.0,Royal Enfield
526,14180.0,First Owner,7.0,150.0,Yamaha
527,26453.0,First Owner,9.0,125.0,Honda
528,9107.0,First Owner,3.0,150.0,Yamaha
529,35000.0,First Owner,7.0,125.0,Hero
530,6300.0,First Owner,3.0,150.0,Yamaha
531,10100.0,Second Owner,7.0,500.0,Royal Enfield
540,6336.0,First Owner,4.0,150.0,Bajaj
544,4981.0,First Owner,6.0,390.0,KTM
545,25431.0,First Owner,9.0,100.0,Bajaj
547,15000.0,First Owner,3.0,180.0,Bajaj
549,6500.0,First Owner,3.0,200.0,Bajaj
555,22000.0,First Owner,9.0,110.0,TVS
556,17300.0,First Owner,6.0,300.0,Benelli
557,7400.0,First Owner,7.0,750.0,Harley-Davidson
558,14000.0,First Owner,5.0,160.0,TVS
559,10300.0,First Owner,5.0,150.0,Bajaj
560,16000.0,First Owner,3.0,150.0,Suzuki
562,20000.0,First Owner,9.0,180.0,Bajaj
563,15000.0,First Owner,4.0,200.0,KTM
564,8000.0,First Owner,6.0,390.0,KTM
565,5000.0,First Owner,5.0,750.0,Harley-Davidson
566,20000.0,First Owner,6.0,350.0,Royal Enfield
567,8500.0,First Owner,3.0,310.0,BMW
569,16000.0,First Owner,7.0,100.0,Hero
570,12500.0,First Owner,3.0,390.0,KTM
571,11500.0,First Owner,5.0,390.0,KTM
572,21000.0,Second Owner,6.0,150.0,Honda
573,37000.0,First Owner,7.0,500.0,Royal Enfield
574,25868.0,First Owner,8.0,150.0,Honda
575,4508.0,First Owner,4.0,150.0,Yamaha
576,17501.0,First Owner,10.0,150.0,Bajaj
577,25000.0,First Owner,5.0,160.0,Honda
578,12000.0,First Owner,3.0,650.0,Kawasaki
579,15800.0,First Owner,4.0,100.0,Bajaj
584,2900.0,First Owner,4.0,1130.0,Benelli
585,42554.0,First Owner,6.0,125.0,Honda
587,13140.0,First Owner,8.0,350.0,Royal Enfield
588,9500.0,First Owner,5.0,200.0,KTM
589,134200.0,First Owner,10.0,150.0,Honda
590,11000.0,First Owner,7.0,350.0,Royal Enfield
591,29451.0,First Owner,6.0,150.0,Suzuki
592,21884.0,Second Owner,8.0,100.0,Hero
593,16150.0,Second Owner,8.0,650.0,Hyosung
594,1050.0,First Owner,2.0,160.0,TVS
595,10544.0,First Owner,9.0,500.0,Royal Enfield
596,30000.0,First Owner,7.0,100.0,Hero
597,6013.0,First Owner,3.0,390.0,KTM
599,5800.0,First Owner,7.0,220.0,Bajaj
600,6500.0,First Owner,5.0,100.0,Hero
601,10800.0,First Owner,3.0,600.0,Benelli
602,6282.0,First Owner,5.0,200.0,KTM
603,40000.0,First Owner,9.0,125.0,Honda
608,5000.0,First Owner,6.0,650.0,Hyosung
609,2881.0,First Owner,7.0,250.0,Hyosung
610,14200.0,First Owner,13.0,1000.0,Yamaha
611,3490.0,First Owner,3.0,200.0,Hero
612,39859.0,First Owner,11.0,150.0,Yamaha
613,4400.0,Second Owner,5.0,1200.0,Ducati
614,9500.0,First Owner,4.0,1050.0,Triumph
615,9000.0,First Owner,9.0,150.0,Honda
616,11795.0,First Owner,5.0,350.0,Royal Enfield
617,17000.0,First Owner,4.0,1300.0,Suzuki
618,172.0,First Owner,3.0,1130.0,Indian
619,26000.0,First Owner,2.0,150.0,Bajaj
620,14000.0,First Owner,4.0,350.0,Royal Enfield
621,20000.0,First Owner,8.0,100.0,Hero
622,5700.0,First Owner,3.0,350.0,Royal Enfield
624,6300.0,First Owner,3.0,350.0,Royal Enfield
625,7253.0,First Owner,2.0,250.0,Yamaha
626,19333.0,First Owner,4.0,220.0,Bajaj
627,1255.0,First Owner,2.0,295.0,Jawa
628,45.0,First Owner,3.0,150.0,Yamaha
629,32158.0,First Owner,6.0,350.0,Royal Enfield
630,29858.0,First Owner,4.0,100.0,Bajaj
632,70251.0,First Owner,13.0,150.0,Bajaj
633,19000.0,First Owner,9.0,150.0,Yamaha
634,23420.0,First Owner,10.0,100.0,Bajaj
635,22000.0,First Owner,5.0,200.0,KTM
